epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.26009,2.65189,3.75603,1.07041,0.015,0.25352,0.01433,0.00302,3.44881,3.63873,1.15948,0.1,0.001,0.001
2,7.96297,3.26429,2.98884,1.41011,0.03083,0.52113,0.03153,0.00674,3.47484,3.28409,1.42955,0.0999998,0.00299982,0.00299982
3,11.66,3.26551,2.10117,1.28445,0.00583,0.09859,0.04717,0.00841,3.76722,5.57783,1.62817,0.0999988,0.00499878,0.00499878
4,15.953,3.38797,2.1139,1.26401,0.02667,0.4507,0.03149,0.00673,3.6852,3.50562,1.62383,0.0999962,0.00699615,0.00699615
5,19.5957,3.80865,1.9688,1.38835,0,0,0,0,4.85541,11678.3,102.119,0.0999912,0.00899121,0.00899121
6,23.0929,3.32602,1.92995,1.25363,0,0,0,0,4.85541,11678.3,102.119,0.0999832,0.0109832,0.0109832
7,27.5273,3.37204,2.04874,1.3143,0,0,0,0,4.70406,255190,1468.2,0.0999714,0.0129714,0.0129714
8,31.8122,3.6187,1.88283,1.34662,0,0,0,0,5.05801,4.80364e+06,36267,0.0999552,0.0149552,0.0149552
9,35.8638,3.35777,1.9705,1.47289,0,0,0,0,5.05801,4.80364e+06,36267,0.0999336,0.0169336,0.0169336
10,39.5051,3.96221,1.99902,1.45395,0,0,0,0,4.80191,4.24428e+08,646598,0.0999062,0.0189062,0.0189062
11,43.6336,3.41043,1.91007,1.49071,0,0,0,0,4.80191,4.24428e+08,646598,0.099872,0.020872,0.020872
12,47.171,3.56114,1.84395,1.3126,0,0,0,0,3.40445,1.26588e+09,3.06437e+06,0.0998305,0.0228305,0.0228305
13,50.8472,3.64312,1.79476,1.40659,0,0,0,0,3.40445,1.26588e+09,3.06437e+06,0.0997808,0.0247808,0.0247808
14,54.4158,3.54952,1.69362,1.44036,0,0,0,0,3.40445,1.26588e+09,3.06437e+06,0.0997223,0.0267223,0.0267223
15,58.6713,3.2425,1.88212,1.42711,0,0,0,0,3.39538,3.84207e+09,7.90285e+06,0.0996543,0.0286543,0.0286543
16,62.2187,3.38745,1.63709,1.24547,0,0,0,0,3.39538,3.84207e+09,7.90285e+06,0.099576,0.030576,0.030576
17,65.9179,3.20715,1.73385,1.23281,0,0,0,0,3.39538,3.84207e+09,7.90285e+06,0.0994868,0.0324868,0.0324868
18,69.4522,3.55454,1.77021,1.45695,0,0,0,0,4.97628,1.32597e+10,4.11858e+06,0.099386,0.034386,0.034386
19,73.5657,3.89165,1.73889,1.64851,0,0,0,0,4.97628,1.32597e+10,4.11858e+06,0.0992728,0.0362728,0.0362728
20,77.1492,3.9582,1.87739,1.7147,0,0,0,0,4.97628,1.32597e+10,4.11858e+06,0.0991466,0.0381466,0.0381466
21,80.8698,4.13361,1.71467,1.65905,0,0,0,0,4.35574,5.11817e+10,1.71386e+08,0.0990067,0.0400067,0.0400067
22,85.5348,3.227,1.53152,1.38364,0,0,0,0,4.35574,5.11817e+10,1.71386e+08,0.0988524,0.0418524,0.0418524
23,89.3134,3.31129,1.62203,1.44231,0,0,0,0,4.35574,5.11817e+10,1.71386e+08,0.0986831,0.0436831,0.0436831
24,93.3544,3.04986,1.56981,1.38609,0,0,0,0,4.35574,5.11817e+10,1.71386e+08,0.0984981,0.0454981,0.0454981
25,97.4437,2.99281,1.55558,1.39464,0,0,0,0,5.05602,9.20281e+09,3.73993e+07,0.0982967,0.0472967,0.0472967
26,101.328,3.65443,2.04523,1.35401,0,0,0,0,5.05602,9.20281e+09,3.73993e+07,0.0980783,0.0490783,0.0490783
27,105.648,3.76891,1.98475,1.39459,0,0,0,0,5.05602,9.20281e+09,3.73993e+07,0.0978423,0.0508423,0.0508423
28,109.204,3.84007,2.04226,1.42458,0,0,0,0,5.05602,9.20281e+09,3.73993e+07,0.097588,0.052588,0.052588
29,112.939,3.89226,1.74531,1.39353,0,0,0,0,5.05602,9.20281e+09,3.73993e+07,0.0973147,0.0543147,0.0543147
30,116.794,3.41422,1.83311,1.34051,0,0,0,0,5.57282,3.72791e+08,2.34358e+06,0.0970219,0.0560219,0.0560219
31,120.279,3.34201,1.64134,1.19545,0,0,0,0,5.57282,3.72791e+08,2.34358e+06,0.0967089,0.0577089,0.0577089
32,123.765,3.12394,1.77646,1.42013,0,0,0,0,5.57282,3.72791e+08,2.34358e+06,0.0963752,0.0593752,0.0593752
33,127.254,3.51459,1.74006,1.21721,0,0,0,0,5.57282,3.72791e+08,2.34358e+06,0.0960202,0.0610202,0.0610202
34,131.054,3.47883,1.51143,1.17665,0,0,0,0,5.57282,3.72791e+08,2.34358e+06,0.0956432,0.0626432,0.0626432
35,134.575,3.32361,1.59572,1.26731,0,0,0,0,5.57282,3.72791e+08,2.34358e+06,0.0952436,0.0642436,0.0642436
36,138.273,3.12522,1.72357,1.25811,0,0,0,0,4.87424,2.63765e+07,108641,0.094821,0.065821,0.065821
37,142.013,3.26897,1.50788,1.31652,0,0,0,0,4.87424,2.63765e+07,108641,0.0943748,0.0673748,0.0673748
38,145.934,3.10054,1.60173,1.2444,0,0,0,0,4.87424,2.63765e+07,108641,0.0939043,0.0689043,0.0689043
39,149.494,3.51941,1.59018,1.26342,0,0,0,0,4.87424,2.63765e+07,108641,0.0934092,0.0704092,0.0704092
40,152.903,3.61929,1.52675,1.26334,0,0,0,0,4.87424,2.63765e+07,108641,0.0928887,0.0718887,0.0718887
41,156.505,3.2798,1.6225,1.27198,0,0,0,0,4.87424,2.63765e+07,108641,0.0923425,0.0733425,0.0733425
42,160.205,3.43349,1.55067,1.27952,0,0,0,0,4.87424,2.63765e+07,108641,0.09177,0.07477,0.07477
43,165.018,3.60648,1.61723,1.42541,0,0,0,0,4.87424,1.16992e+07,114618,0.0911708,0.0761708,0.0761708
44,168.593,3.20973,1.82417,1.28255,0,0,0,0,4.87424,1.16992e+07,114618,0.0905442,0.0775442,0.0775442
45,172.022,3.08553,2.05478,1.35495,0,0,0,0,4.87424,1.16992e+07,114618,0.08989,0.07889,0.07889
46,175.549,3.05699,1.79404,1.26535,0,0,0,0,4.87424,1.16992e+07,114618,0.0892075,0.0802075,0.0802075
47,178.99,3.14746,1.94038,1.42931,0,0,0,0,4.87424,1.16992e+07,114618,0.0884964,0.0814964,0.0814964
48,182.938,3.27048,2.05998,1.41076,0,0,0,0,4.87424,1.16992e+07,114618,0.0877562,0.0827562,0.0827562
49,186.336,2.93908,1.74607,1.25609,0,0,0,0,4.87424,1.16992e+07,114618,0.0869864,0.0839864,0.0839864
50,189.994,3.79278,1.94714,1.33041,0,0,0,0,4.87424,1.16992e+07,114618,0.0861868,0.0851868,0.0851868
51,193.552,3.72869,1.92825,1.39169,0,0,0,0,5.29923,5.21743e+07,434602,0.0855018,0.0855018,0.0855018
52,197.461,3.40265,1.59829,1.4389,0,0,0,0,5.29923,5.21743e+07,434602,0.0849477,0.0849477,0.0849477
53,200.89,3.39381,1.53699,1.37911,0,0,0,0,5.29923,5.21743e+07,434602,0.0843851,0.0843851,0.0843851
